RegionID,SizeRank,City,RegionType,State,Date,New_Renter_Affordability
394633,331,Glens Falls,msa,NY,2015-01-31,0.2377657469238869
394780,332,Lawton,msa,OK,2015-01-31,0.170494984207846
394474,334,Cleveland,msa,TN,2015-01-31,0.2236728712561297
395098,335,Sierra Vista,msa,AZ,2015-01-31,0.22802058848056211
394325,336,Ames,msa,IA,2015-01-31,0.1797768943383264
394824,337,Mansfield,msa,OH,2015-01-31,0.1770811449700263
395128,338,Staunton,msa,VA,2015-01-31,0.20613946778064499
394321,340,Altoona,msa,PA,2015-01-31,0.18339428646571826
394905,341,New Bern,msa,NC,2015-01-31,0.21968160894847405
394588,342,Farmington,msa,NM,2015-01-31,0.2349540878907361
395120,343,St. Joseph,msa,MO,2015-01-31,0.18093544273945938
395054,344,San Angelo,msa,TX,2015-01-31,0.23396450159591442
395218,345,Wenatchee,msa,WA,2015-01-31,0.2023786340546856
394949,346,Owensboro,msa,KY,2015-01-31,0.19144058307048611
394778,349,Lawrence,msa,KS,2015-01-31,0.18986288295885456
394635,350,Goldsboro,msa,NC,2015-01-31,0.21968160894847405
395213,351,Watertown,msa,NY,2015-01-31,0.2377657469238869
395089,352,Sheboygan,msa,WI,2015-01-31,0.2029718578804955
395217,353,Weirton,msa,OH,2015-01-31,0.1770811449700263
394867,354,Missoula,msa,MT,2015-01-31,0.18942714572482
394407,356,Bozeman,msa,MT,2015-01-31,0.18107233105691412
394333,357,Anniston,msa,AL,2015-01-31,0.2063922428402079
394374,358,Beckley,msa,WV,2015-01-31,
395225,359,Williamsport,msa,PA,2015-01-31,0.18339428646571826
394423,360,Brunswick,msa,GA,2015-01-31,0.22552241579829932
395173,361,Twin Falls,msa,ID,2015-01-31,0.16958068657745645
753872,361,California,msa,MD,2015-01-31,0.159118334875954
394893,364,Muncie,msa,IN,2015-01-31,0.18899697141278762
394857,365,Michigan City,msa,IN,2015-01-31,0.18899697141278762
394788,367,Lewiston,msa,ME,2015-01-31,0.2351660303280814
394804,368,Longview,msa,WA,2015-01-31,0.2023786340546856
394734,370,Kankakee,msa,IL,2015-01-31,0.19641735525557413
394709,376,Ithaca,msa,NY,2015-01-31,0.2377657469238869
394637,377,Grand Forks,msa,MN,2015-01-31,0.19368524985697094
394524,378,Decatur,msa,IL,2015-01-31,0.19641735525557413
394369,380,Bay City,msa,MI,2015-01-31,0.19663285717060783
394599,381,Fond du Lac,msa,WI,2015-01-31,0.2029718578804955
394630,382,Gettysburg,msa,PA,2015-01-31,0.18339428646571826
394823,386,Mankato,msa,MN,2015-01-31,0.19368524985697094
394794,387,Lima,msa,OH,2015-01-31,0.1770811449700263
395080,390,Sebring,msa,FL,2015-01-31,0.2565244296734582
394462,391,Cheyenne,msa,WY,2015-01-31,0.1911856284977929
